+---------------+-----------+--------------------+--------------------+
|  Priorities   | Baseline1 |     Baseline2      |   Test Scenario    |
|                               SERVER-IIS pbserver access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS ping.asp access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-IIS postinfo.asp access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-IIS repost.asp access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-IIS scripts-browse access [Priority: 1]                             |     0     |       0 (0%)        |      1 (+100%)      |
|                             SERVER-IIS search97.vts access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-IIS sgdynamo.exe access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS showcode access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-IIS showcode.asp access [Priority: 2]                              |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                          SERVER-IIS site server config access [Priority: 2]                           |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS srchadm access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-IIS tilde character file name discovery attempt [Priority: 2]                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS trace.axd access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS users.xml access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-IIS viewcode access [Priority: 2]                                |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-IIS viewcode.asp access [Priority: 2]                              |     8     |      8 (0.0%)       |     0 (-100.0%)     |
|                                SERVER-IIS webhits access [Priority: 2]                                |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion ?Mode=debug attempt [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Adobe Coldfusion addcontent.cfm access [Priority: 2]                   |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                   SERVER-OTHER Adobe Coldfusion administrator access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Adobe Coldfusion application.cfm access [Priority: 2]                   |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-OTHER Adobe Coldfusion beaninfo access [Priority: 2]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-OTHER Adobe Coldfusion cfappman access [Priority: 2]                      |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion cfcache.map access [Priority: 2]                     |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                SERVER-OTHER Adobe Coldfusion cfmlsyntaxcheck.cfm access [Priority: 2]                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion displayfile access [Priority: 1]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion evaluate.cfm access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-OTHER Adobe Coldfusion exampleapp access [Priority: 2]                     |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|                SERVER-OTHER Adobe Coldfusion exampleapp application.cfm [Priority: 2]                 |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                      SERVER-OTHER Adobe Coldfusion expeval access [Priority: 1]                       |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-OTHER Adobe Coldfusion exprcalc access [Priority: 2]                      |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Adobe Coldfusion fileexists.cfm access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion getfile.cfm access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|               SERVER-OTHER Adobe Coldfusion gettempdirectory.cfm access  [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion openfile.cfm access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-OTHER Adobe Coldfusion parks access [Priority: 2]                        |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                    SERVER-OTHER Adobe Coldfusion sendmail.cfm access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-OTHER Adobe Coldfusion snippets attempt [Priority: 2]                      |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Adobe Coldfusion sourcewindow.cfm access [Priority: 2]                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Adobe Coldfusion startstop DOS access [Priority: 1]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Adobe Coldfusion viewexample.cfm access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|           SERVER-OTHER Apple CUPS web interface cross site scripting attempt [Priority: 1]            |    294    |     294 (0.0%)      |     2 (-99.32%)     |
|                      SERVER-OTHER Microsoft Frontpage .... request [Priority: 1]                      |    30     |     32 (+6.67%)     |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage /_vti_bin/ access [Priority: 2]                    |    62     |     63 (+1.61%)     |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage _vti_inf.html access [Priority: 2]                  |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                    SERVER-OTHER Microsoft Frontpage _vti_rpc access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage access.cnf access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|               SERVER-OTHER Microsoft Frontpage administrators.pwd access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage author.exe access [Priority: 2]                    |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage authors.pwd access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage cfgwiz.exe access [Priority: 2]                    |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage contents.htm access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage dvwssr.dll access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage form_results access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-OTHER Microsoft Frontpage form_results.htm access [Priority: 2]                 |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage fpadmcgi.exe access [Priority: 2]                   |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage fpadmin.htm access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage fpremadm.exe access [Priority: 2]                   |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage fpsrvadm.exe access [Priority: 2]                   |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage orders.htm access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage orders.txt access [Priority: 2]                    |     1     |     0 (-100.0%)     |     0 (-100.0%)     |
|                 SERVER-OTHER Microsoft Frontpage rad fp30reg.dll access [Priority: 2]                 |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage register.htm access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage register.txt access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-OTHER Microsoft Frontpage registrations.htm access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-OTHER Microsoft Frontpage registrations.txt access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage service.cnf access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-OTHER Microsoft Frontpage service.pwd [Priority: 2]                       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-OTHER Microsoft Frontpage services.cnf access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Microsoft Frontpage shtml.dll access [Priority: 2]                    |     2     |     1 (-50.0%)      |     0 (-100.0%)     |
|                    SERVER-OTHER Microsoft Frontpage shtml.exe access [Priority: 2]                    |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-OTHER Microsoft Frontpage users.pwd access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                   SERVER-OTHER Microsoft Frontpage writeto.cnf access [Priority: 2]                   |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-OTHER readme.eml download attempt [Priority: 1]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP .DS_Store access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP .FBCIndex access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP .bash_history access [Priority: 1]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP .history access [Priority: 1]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP .htaccess access [Priority: 2]                              |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP .htpasswd access attempt [Priority: 1]                          |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP .nsconfig access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP .wwwacl access [Priority: 2]                               |     4     |      4 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP /.... access [Priority: 2]                                |    14     |      14 (0.0%)      |    40 (+185.71%)    |
|                     SERVER-WEBAPP /.svn/entries file access attempt [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP /CVS/Entries access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                              SERVER-WEBAPP /_admin access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP /doc/ access [Priority: 2]                                |    56     |      56 (0.0%)      |     0 (-100.0%)     |
|                           SERVER-WEBAPP /doc/packages access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP /etc/passwd file access attempt [Priority: 2]                      |    267    |     267 (0.0%)      |     0 (-100.0%)     |
|                      SERVER-WEBAPP /etc/shadow file access attempt [Priority: 2]                      |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP /fcgi-bin/echo.exe access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                             SERVER-WEBAPP /home/www access [Priority: 2]                              |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP /ws_ftp.log file access attempt [Priority: 2]                      |     3     |      3 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP /wwwboard/passwd.txt access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP /~ftp access [Priority: 2]                                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-WEBAPP 3R Soft MailStudio 2000 mailview.cgi access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                           SERVER-WEBAPP ?PageServices access [Priority: 2]                            |     1     |      1 (0.0%)       |      1 (0.0%)       |
|                            SERVER-WEBAPP Admin_files access [Priority: 2]                             |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-WEBAPP Advanced Poll admin_edit.php access [Priority: 2]                    |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                  SERVER-WEBAPP Advanced Poll admin_settings.php access [Priority: 2]                  |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP Advanced Poll admin_templates.php access [Priority: 2]                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                SERVER-WEBAPP Alabanza Control Panel nsManager.cgi access [Priority: 2]                |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|      SERVER-WEBAPP Apache Server mod_proxy Error Page cross site scripting attempt [Priority: 1]      |     7     |      7 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP Axis Storpoint CD access [Priority: 2]                          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP BBoard access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP BLNews objects.inc.php4 access [Priority: 2]                       |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                       SERVER-WEBAPP Blahz-DNS dostuff.php access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP Blahz-DNS dostuff.php modify user attempt [Priority: 1]                 |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP CCBill whereami.cgi access [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP CGIScript.net csNews.cgi access [Priority: 2]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP CSGuestbook setup attempt [Priority: 2]                         |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                            SERVER-WEBAPP CSMailto.cgi access [Priority: 2]                            |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                 SERVER-WEBAPP Cisco Catalyst command execution attempt [Priority: 2]                  |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|          SERVER-WEBAPP Citrix ADC and Gateway arbitrary code execution attempt [Priority: 1]          |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-WEBAPP Compaq Insight directory traversal [Priority: 1]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                    SERVER-WEBAPP Cyboards default_header.php access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP DB4Web access [Priority: 2]                               |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                               SERVER-WEBAPP DCShop access [Priority: 2]                               |     2     |      2 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP DCShop auth_user_file.txt access [Priority: 2]                      |     5     |      5 (0.0%)       |     0 (-100.0%)     |
|                         SERVER-WEBAPP DCShop orders.txt access [Priority: 2]                          |     6     |      6 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP EasyBoard 2000 ezadmin.cgi access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                     SERVER-WEBAPP EasyBoard 2000 ezboard.cgi access [Priority: 2]                     |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                      SERVER-WEBAPP EasyBoard 2000 ezman.cgi access [Priority: 2]                      |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP Ecommerce checks.txt access [Priority: 2]                        |     1     |      1 (0.0%)       |     0 (-100.0%)     |
|                        SERVER-WEBAPP Ecommerce import.txt access [Priority: 2]                        |     3     |      3 (0.0%)       |     0 (-100.0%)     |
