+---------------+-------+
|   Priority    | Count |
|                         (http_inspect) self directory traversal [Priority: 3]                         |   6   |
|                               SERVER-WEBAPP cgicso access [Priority: 2]                               |   6   |
|      SERVER-WEBAPP Oracle Application Server 9i unauthenticated dms access attempt [Priority: 2]      |   6   |
|               SERVER-WEBAPP generic cross site scripting via url attempt [Priority: 2]                |   6   |
|                                SERVER-WEBAPP yabb access [Priority: 2]                                |   6   |
|                      SERVER-OTHER Adobe Coldfusion expeval access [Priority: 1]                       |   6   |
|                              SERVER-IIS ISAPI .idq attempt [Priority: 1]                              |   6   |
|                             SERVER-WEBAPP .htaccess access [Priority: 2]                              |   6   |
|                              SERVER-WEBAPP handler access [Priority: 2]                               |   6   |
|                         SERVER-WEBAPP DCShop orders.txt access [Priority: 2]                          |   6   |
|                            SERVER-WEBAPP emumail.cgi access [Priority: 2]                             |   5   |
|                              SERVER-IIS iisadmpwd attempt [Priority: 1]                               |   5   |
|                              SERVER-WEBAPP WEB-INF access [Priority: 2]                               |   5   |
|              BROWSER-OTHER HTTP characters prior to header evasion attempt [Priority: 2]              |   5   |
|                     SERVER-OTHER Adobe Coldfusion exampleapp access [Priority: 2]                     |   5   |
|      SERVER-WEBAPP Sourceforge Gallery search engine cross-site scripting attempt [Priority: 1]       |   5   |
|                  SERVER-WEBAPP Ruby on Rails command injection attempt [Priority: 1]                  |   5   |
|                               SERVER-WEBAPP ExAir access [Priority: 2]                                |   5   |
|                     SERVER-WEBAPP DCShop auth_user_file.txt access [Priority: 2]                      |   5   |
|                    SERVER-OTHER Microsoft Frontpage shtml.exe access [Priority: 2]                    |   4   |
|                                SERVER-IIS fpcount access [Priority: 2]                                |   4   |
|                             SERVER-WEBAPP search.cgi access [Priority: 2]                             |   4   |
|               (http_inspect) unrecognized type of percent encoding in URI [Priority: 3]               |   4   |
|                               SERVER-IIS viewcode access [Priority: 2]                                |   4   |
|                SERVER-WEBAPP IGeneric Free Shopping Cart page.php access [Priority: 2]                |   4   |
|                            SERVER-IIS codebrowser SDK access [Priority: 2]                            |   4   |
|                           SERVER-WEBAPP bb_smilies.php access [Priority: 2]                           |   4   |
|                       SERVER-WEBAPP read_body.php access attempt [Priority: 2]                        |   4   |
|                     SERVER-OTHER Adobe Coldfusion snippets attempt [Priority: 2]                      |   4   |
|                              SERVER-WEBAPP admin.pl access [Priority: 2]                              |   4   |
|                   SERVER-OTHER Microsoft Frontpage cfgwiz.exe access [Priority: 2]                    |   4   |
|                              SERVER-WEBAPP cgimail access [Priority: 2]                               |   4   |
|                  SERVER-OTHER Microsoft Frontpage fpremadm.exe access [Priority: 2]                   |   4   |
|                  SERVER-OTHER Microsoft Frontpage fpsrvadm.exe access [Priority: 2]                   |   4   |
|        SERVER-APACHE Apache Tomcat servlet mapping cross site scripting attempt [Priority: 1]         |   4   |
|                              SERVER-WEBAPP .wwwacl access [Priority: 2]                               |   4   |
|                               SERVER-IIS iisadmin access [Priority: 1]                                |   3   |
|                   SERVER-WEBAPP oracle web application server access [Priority: 2]                    |   3   |
|                              SERVER-IIS ASP contents view [Priority: 1]                               |   3   |
|                            SERVER-WEBAPP webcart-lite access [Priority: 2]                            |   3   |
|                       SERVER-WEBAPP jrun directory browse attempt [Priority: 1]                       |   3   |
|              SERVER-IIS Microsoft Windows IIS directory traversal attempt [Priority: 1]               |   3   |
|             SQL generic sql with comments injection attempt - GET parameter [Priority: 1]             |   3   |
|                         SERVER-WEBAPP oracle portal demo access [Priority: 2]                         |   3   |
|                  SERVER-OTHER Adobe Coldfusion application.cfm access [Priority: 2]                   |   3   |
|                        SERVER-WEBAPP Ecommerce import.txt access [Priority: 2]                        |   3   |
|                      SERVER-WEBAPP /ws_ftp.log file access attempt [Priority: 2]                      |   3   |
|   SERVER-WEBAPP encoded cross site scripting HTML Image tag set to javascript attempt [Priority: 1]   |   3   |
|       SERVER-WEBAPP cross site scripting HTML Image tag set to javascript attempt [Priority: 1]       |   3   |
|            PROTOCOL-SCADA Cogent DataHub server-side information disclosure [Priority: 1]             |   3   |
|                     SERVER-WEBAPP PHP-CGI command injection attempt [Priority: 1]                     |   3   |
|                              SERVER-WEBAPP redirect access [Priority: 2]                              |   3   |
|                            SERVER-WEBAPP loadpage.cgi access [Priority: 2]                            |   3   |
|                              SERVER-WEBAPP ans.pl attempt [Priority: 1]                               |   3   |
|                               SERVER-WEBAPP ans.pl access [Priority: 2]                               |   3   |
|                      SERVER-OTHER Adobe Coldfusion exprcalc access [Priority: 2]                      |   3   |
|                             SERVER-WEBAPP global.inc access [Priority: 1]                             |   3   |
|                            SERVER-IIS /msadc/samples/ access [Priority: 1]                            |   3   |
|                    SERVER-WEBAPP Novell Groupwise gwweb.exe attempt [Priority: 2]                     |   3   |
|                             SERVER-WEBAPP httpd.conf access [Priority: 2]                             |   2   |
|                       SERVER-WEBAPP b2 cafelog gm-2-b2.php access [Priority: 2]                       |   2   |
|                            SERVER-WEBAPP bigconf.cgi access [Priority: 2]                             |   2   |
|                             SERVER-WEBAPP adminlogin access [Priority: 2]                             |   2   |
|                            SERVER-WEBAPP wwwboard.pl access [Priority: 2]                             |   2   |
|                     SERVER-WEBAPP JBoss web console access attempt [Priority: 2]                      |   2   |
|                              SERVER-IIS global.asa access [Priority: 2]                               |   2   |
|                             SERVER-WEBAPP w3tvars.pm access [Priority: 2]                             |   2   |
|                  SERVER-IIS /SiteServer/Publishing/viewcode.asp access [Priority: 2]                  |   2   |
|                SERVER-WEBAPP iPlanet Search directory traversal attempt [Priority: 1]                 |   2   |
|                  SERVER-WEBAPP Advanced Poll admin_settings.php access [Priority: 2]                  |   2   |
|            SQL union select - possible sql injection attempt - GET parameter [Priority: 2]            |   2   |
|                         SERVER-WEBAPP VirusWall catinfo access [Priority: 2]                          |   2   |
|                             SERVER-WEBAPP cvslog.cgi access [Priority: 2]                             |   2   |
|              SERVER-WEBAPP a1stats a1disp3.cgi directory traversal attempt [Priority: 1]              |   2   |
|                        SERVER-WEBAPP a1stats a1disp3.cgi access [Priority: 2]                         |   2   |
|                     SERVER-WEBAPP JBoss JMX console access attempt [Priority: 2]                      |   2   |
|                             SERVER-WEBAPP ws_ftp.ini access [Priority: 2]                             |   2   |
|                             SERVER-IIS doctodep.btr access [Priority: 2]                              |   2   |
|                               SERVER-IIS trace.axd access [Priority: 2]                               |   2   |
|                    SERVER-OTHER Microsoft Frontpage shtml.dll access [Priority: 2]                    |   2   |
|                   SERVER-OTHER Microsoft Frontpage author.exe access [Priority: 2]                    |   2   |
|                 SERVER-OTHER Microsoft Frontpage rad fp30reg.dll access [Priority: 2]                 |   2   |
|                      SERVER-WEBAPP Nortel Contivity cgiproc access [Priority: 2]                      |   2   |
|                            SERVER-WEBAPP calendar.pl access [Priority: 2]                             |   2   |
|                              SERVER-WEBAPP printenv access [Priority: 2]                              |   2   |
| SERVER-WEBAPP F5 BIG-IP Traffic Management User Interface remote code execution attempt [Priority: 1] |   2   |
|                              SERVER-WEBAPP /_admin access [Priority: 2]                               |   2   |
|                      SERVER-WEBAPP /etc/shadow file access attempt [Priority: 2]                      |   2   |
|                                SERVER-IIS JET VBA access [Priority: 2]                                |   2   |
|                           SERVER-WEBAPP csPassword.cgi access [Priority: 2]                           |   2   |
|                                SERVER-WEBAPP root access [Priority: 2]                                |   2   |
|                              SERVER-WEBAPP php.exe access [Priority: 2]                               |   2   |
|           SERVER-IIS Microsoft ASP.NET bad request denial of service attempt [Priority: 2]            |   2   |
|                           SERVER-WEBAPP server-status access [Priority: 2]                            |   2   |
|                            SERVER-WEBAPP server-info access [Priority: 2]                             |   2   |
|           SERVER-WEBAPP MVPower DVR Shell arbitrary command execution attempt [Priority: 1]           |   2   |
|              POLICY-OTHER Adobe ColdFusion admin interface access attempt [Priority: 1]               |   2   |
|                  SERVER-OTHER Microsoft Frontpage fpadmcgi.exe access [Priority: 2]                   |   2   |
|                             SERVER-WEBAPP listrec.pl access [Priority: 2]                             |   2   |
|                    SERVER-IIS VP-ASP ShopDisplayProducts.asp access [Priority: 2]                     |   2   |
|                       SERVER-WEBAPP Mambo uploadimage.php access [Priority: 2]                        |   2   |
|                          SERVER-WEBAPP RBS ISP /newuser access [Priority: 2]                          |   2   |
|                           SERVER-WEBAPP directory.php access [Priority: 2]                            |   2   |
|                            SERVER-WEBAPP Admin_files access [Priority: 2]                             |   2   |
|              SERVER-WEBAPP Multiple Vendor server file disclosure attempt [Priority: 1]               |   2   |
|                               SERVER-WEBAPP DCShop access [Priority: 2]                               |   2   |
|                   SERVER-WEBAPP Oracle Cobalt RaQ service.cgi access [Priority: 2]                    |   2   |
|                 INDICATOR-COMPROMISE c99shell.php command request - cmd [Priority: 1]                 |   2   |
|                             SERVER-IIS showcode.asp access [Priority: 2]                              |   2   |
|                            SERVER-WEBAPP globals.jsa access [Priority: 2]                             |   2   |
|                       SERVER-WEBAPP Oracle XSQLConfig.xml access [Priority: 2]                        |   2   |
|                              SERVER-WEBAPP intranet access [Priority: 2]                              |   2   |
|                  (http_inspect) server response before client request [Priority: 3]                   |   2   |
|                              SERVER-WEBAPP files.pl access [Priority: 2]                              |   2   |
|                              SERVER-IIS ISAPI .ida access [Priority: 2]                               |   2   |
|                    SERVER-OTHER Adobe Coldfusion cfcache.map access [Priority: 2]                     |   2   |
|                              (http_inspect) unknown method [Priority: 3]                              |   2   |
|                             SERVER-WEBAPP mlog.phtml access [Priority: 2]                             |   2   |
|                            SERVER-WEBAPP mylog.phtml access [Priority: 2]                             |   2   |
|                SERVER-OTHER Microsoft Frontpage form_results.htm access [Priority: 2]                 |   2   |
|                         SERVER-WEBAPP .htpasswd access attempt [Priority: 1]                          |   2   |
|                       SERVER-WEBAPP user_update_passwd.pl access [Priority: 2]                        |   1   |
|                 SERVER-IIS tilde character file name discovery attempt [Priority: 2]                  |   1   |
|                    SERVER-OTHER Microsoft Frontpage _vti_rpc access [Priority: 2]                     |   1   |
|                                 SERVER-IIS bdir access [Priority: 2]                                  |   1   |
|                               SERVER-IIS bdir.htr access [Priority: 2]                                |   1   |
|                               SERVER-IIS ctss.idc access [Priority: 2]                                |   1   |
|                        SERVER-WEBAPP /wwwboard/passwd.txt access [Priority: 2]                        |   1   |
|               SERVER-WEBAPP Oracle Dynamic Monitoring Services dms access [Priority: 2]               |   1   |
|              SERVER-WEBAPP oracle web arbitrary command execution attempt [Priority: 1]               |   1   |
|     SERVER-IIS Microsoft Windows IIS5 NTLM and basic authentication bypass attempt [Priority: 1]      |   1   |
|                             SERVER-WEBAPP faxsurvey access [Priority: 2]                              |   1   |
|                    SERVER-WEBAPP Oracle Java Process Manager access [Priority: 2]                     |   1   |
|                              SERVER-IIS msadcs.dll access [Priority: 2]                               |   1   |
|                        SERVER-OTHER readme.eml download attempt [Priority: 1]                         |   1   |
|                         SERVER-IIS httpodbc.dll access - nimda [Priority: 2]                          |   1   |
|                                SERVER-IIS MSProxy access [Priority: 2]                                |   1   |
|                          SERVER-IIS CodeRed v2 root.exe access [Priority: 1]                          |   1   |
|                              SERVER-WEBAPP www-sql access [Priority: 2]                               |   1   |
|                              SERVER-IIS newdsn.exe access [Priority: 2]                               |   1   |
|                         SERVER-IIS /iisadmpwd/aexp2.htr access [Priority: 2]                          |   1   |
|                    SERVER-WEBAPP Advanced Poll admin_edit.php access [Priority: 2]                    |   1   |
|                 SERVER-WEBAPP Advanced Poll admin_templates.php access [Priority: 2]                  |   1   |
|                           SERVER-WEBAPP way-board.cgi access [Priority: 2]                            |   1   |
|                             SERVER-WEBAPP way-board access [Priority: 2]                              |   1   |
|                            SERVER-WEBAPP view_source access [Priority: 2]                             |   1   |
|                          SERVER-IIS /exchange/root.asp attempt [Priority: 1]                          |   1   |
|                          SERVER-IIS /exchange/root.asp access [Priority: 2]                           |   1   |
|                     SERVER-WEBAPP Interactive Story story.pl access [Priority: 2]                     |   1   |
|                               SERVER-IIS showcode access [Priority: 2]                                |   1   |
|                               SERVER-IIS pbserver access [Priority: 2]                                |   1   |
|                            SERVER-WEBAPP readmsg.php access [Priority: 2]                             |   1   |
|                            SERVER-WEBAPP shoutbox.php access [Priority: 2]                            |   1   |
|                        SERVER-WEBAPP basilix mysql.class access [Priority: 2]                         |   1   |
|                        SERVER-WEBAPP basilix sendmail.inc access [Priority: 2]                        |   1   |
|                      SERVER-WEBAPP Netscape PublishingXpert access [Priority: 2]                      |   1   |
|                            SERVER-WEBAPP tstisapi.dll access [Priority: 2]                            |   1   |
|                               SERVER-IIS users.xml access [Priority: 2]                               |   1   |
|                    SERVER-OTHER Adobe Coldfusion ?Mode=debug attempt [Priority: 2]                    |   1   |
|                           SERVER-WEBAPP logicworks.ini access [Priority: 2]                           |   1   |
|                           SERVER-WEBAPP mall log order access [Priority: 2]                           |   1   |
|             POLICY-OTHER Adobe ColdFusion component browser access attempt [Priority: 1]              |   1   |
|                SERVER-OTHER Adobe Coldfusion exampleapp application.cfm [Priority: 2]                 |   1   |
|                   SERVER-OTHER Adobe Coldfusion addcontent.cfm access [Priority: 2]                   |   1   |
|                             SERVER-WEBAPP globals.pl access [Priority: 2]                             |   1   |
|                     SERVER-WEBAPP Linksys BEFSR41 gozila.cgi access [Priority: 2]                     |   1   |
|                       SERVER-IIS IISProtect siteadmin.asp access [Priority: 2]                        |   1   |
|                              SERVER-IIS IISProtect access [Priority: 2]                               |   1   |
|                            SERVER-WEBAPP smssend.php access [Priority: 2]                             |   1   |
|                               SERVER-WEBAPP /~ftp access [Priority: 2]                                |   1   |
|                         SERVER-WEBAPP Progress webspeed access [Priority: 1]                          |   1   |
|                          SERVER-WEBAPP rolis guestbook access [Priority: 2]                           |   1   |
|                             SERVER-WEBAPP p-news.php access [Priority: 2]                             |   1   |
|                   SERVER-OTHER Microsoft Frontpage dvwssr.dll access [Priority: 2]                    |   1   |
|                   SERVER-OTHER Microsoft Frontpage access.cnf access [Priority: 2]                    |   1   |
|                                SERVER-WEBAPP phf access [Priority: 2]                                 |   1   |
|                               SERVER-WEBAPP BBoard access [Priority: 2]                               |   1   |
|                             SERVER-WEBAPP search.dll access [Priority: 2]                             |   1   |
|                             SERVER-WEBAPP Setup.php access [Priority: 2]                              |   1   |
|                           SERVER-WEBAPP shopping cart access [Priority: 2]                            |   1   |
|                   SERVER-WEBAPP PHP-Wiki cross site scripting attempt [Priority: 1]                   |   1   |
|            SERVER-WEBAPP mxBB MX Faq module_root_path file inclusion attempt [Priority: 1]            |   1   |
|                 SERVER-WEBAPP PHP phpinfo cross site scripting attempt [Priority: 1]                  |   1   |
|                              SERVER-WEBAPP args.bat access [Priority: 2]                              |   1   |
|      SERVER-WEBAPP Novell Zenworks Mobile Management cross site scripting attempt [Priority: 1]       |   1   |
|                       SERVER-WEBAPP myPHPNuke partner.php access [Priority: 2]                        |   1   |
|                      SERVER-WEBAPP myPHPNuke chatheader.php access [Priority: 2]                      |   1   |
|            SERVER-WEBAPP Macromedia SiteSpring cross site scripting attempt [Priority: 1]             |   1   |
|            SERVER-WEBAPP generic SQL select statement possible sql injection [Priority: 1]            |   1   |
|                           SERVER-IIS MS BizTalk server access [Priority: 2]                           |   1   |
|                     SERVER-WEBAPP /.svn/entries file access attempt [Priority: 2]                     |   1   |
|                      SERVER-OTHER Adobe Coldfusion cfappman access [Priority: 2]                      |   1   |
|                      SERVER-OTHER Adobe Coldfusion beaninfo access [Priority: 2]                      |   1   |
|                       SERVER-OTHER Adobe Coldfusion parks access [Priority: 2]                        |   1   |
|                            SERVER-WEBAPP CSMailto.cgi access [Priority: 2]                            |   1   |
|                            SERVER-WEBAPP document.d2w access [Priority: 2]                            |   1   |
|                                SERVER-WEBAPP wrap access [Priority: 2]                                |   1   |
|                             SERVER-WEBAPP gbook.cgi access [Priority: 2]                              |   1   |
|                          SERVER-WEBAPP win-c-sample.exe access [Priority: 2]                          |   1   |
|                SERVER-APACHE Apache Tomcat TroubleShooter servlet access [Priority: 2]                |   1   |
|                             SERVER-WEBAPP search.vts access [Priority: 2]                             |   1   |
|                             SERVER-IIS search97.vts access [Priority: 2]                              |   1   |
|                    SERVER-OTHER Adobe Coldfusion getfile.cfm access [Priority: 2]                     |   1   |
|                  SERVER-OTHER Adobe Coldfusion sourcewindow.cfm access [Priority: 2]                  |   1   |
|                   SERVER-WEBAPP db4web_c directory traversal attempt [Priority: 1]                    |   1   |
|                                SERVER-IIS srchadm access [Priority: 2]                                |   1   |
|                             SERVER-WEBAPP envout.bat access [Priority: 2]                             |   1   |
|                              SERVER-WEBAPP awstats access [Priority: 2]                               |   1   |
|                            SERVER-WEBAPP autohtml.php access [Priority: 2]                            |   1   |
|                    SERVER-OTHER Adobe Coldfusion openfile.cfm access [Priority: 2]                    |   1   |
|                             SERVER-WEBAPP active.log access [Priority: 2]                             |   1   |
|                       SERVER-WEBAPP apache source.asp file access [Priority: 2]                       |   1   |
|                               SERVER-WEBAPP nobody access [Priority: 1]                               |   1   |
|                 MALWARE-CNC Win.Trojan.Zbot variant outbound connection [Priority: 1]                 |   1   |
|                     SERVER-WEBAPP Phorum /support/common.php access [Priority: 1]                     |   1   |
|                         SERVER-WEBAPP eXtropia webstore access [Priority: 2]                          |   1   |
|                            SERVER-WEBAPP dcforum.cgi access [Priority: 2]                             |   1   |
|                    SERVER-WEBAPP Cyboards default_header.php access [Priority: 2]                     |   1   |
|                          SERVER-WEBAPP mod_gzip_status access [Priority: 2]                           |   1   |
|                     SERVER-WEBAPP iChat directory traversal attempt [Priority: 2]                     |   1   |
|                    SERVER-WEBAPP Compaq Insight directory traversal [Priority: 1]                     |   1   |
|          SERVER-WEBAPP Joomla com_contenthistory module SQL injection attempt [Priority: 1]           |   1   |
|         INDICATOR-OBFUSCATION select concat statement - possible sql injection [Priority: 1]          |   1   |
|              SQL use of concat function with select - likely SQL injection [Priority: 1]              |   1   |
|                        SERVER-WEBAPP philboard_admin.asp access [Priority: 2]                         |   1   |
|                        SERVER-WEBAPP CCBill whereami.cgi access [Priority: 2]                         |   1   |
|                         SERVER-WEBAPP Axis Storpoint CD access [Priority: 2]                          |   1   |
|                SERVER-WEBAPP Alabanza Control Panel nsManager.cgi access [Priority: 2]                |   1   |
|                      SERVER-WEBAPP CGIScript.net csNews.cgi access [Priority: 2]                      |   1   |
|                     SERVER-APACHE Apache Tomcat server snoop access [Priority: 2]                     |   1   |
|                  SERVER-OTHER Adobe Coldfusion viewexample.cfm access [Priority: 2]                   |   1   |
|            SERVER-APACHE Apache SSI error page cross-site scripting attempt [Priority: 1]             |   1   |
|                    SERVER-OTHER Adobe Coldfusion evaluate.cfm access [Priority: 2]                    |   1   |
|                   SERVER-OTHER Adobe Coldfusion startstop DOS access [Priority: 1]                    |   1   |
|                     SERVER-WEBAPP EasyBoard 2000 ezadmin.cgi access [Priority: 2]                     |   1   |
|                     SERVER-WEBAPP EasyBoard 2000 ezboard.cgi access [Priority: 2]                     |   1   |
|                      SERVER-WEBAPP EasyBoard 2000 ezman.cgi access [Priority: 2]                      |   1   |
|                               SERVER-WEBAPP finger access [Priority: 2]                               |   1   |
|           SERVER-WEBAPP calendar_admin.pl arbitrary command execution attempt [Priority: 1]           |   1   |
|                         SERVER-WEBAPP calendar_admin.pl access [Priority: 2]                          |   1   |
|                  SERVER-OTHER Microsoft Frontpage contents.htm access [Priority: 2]                   |   1   |
|                   SERVER-OTHER Microsoft Frontpage fpadmin.htm access [Priority: 2]                   |   1   |
|                         SERVER-WEBAPP csChatRBox setup attempt [Priority: 2]                          |   1   |
|                         SERVER-WEBAPP CSGuestbook setup attempt [Priority: 2]                         |   1   |
|                        SERVER-WEBAPP csLiveSupport setup attempt [Priority: 2]                        |   1   |
|                          SERVER-WEBAPP cart 32 AdminPwd access [Priority: 2]                          |   1   |
|                              SERVER-IIS CGImail.exe access [Priority: 2]                              |   1   |
|                         SERVER-WEBAPP SalesLogix Eviewer access [Priority: 2]                         |   1   |
|                          SERVER-WEBAPP smartsearch.cgi access [Priority: 2]                           |   1   |
|                   SERVER-OTHER Microsoft Frontpage orders.htm access [Priority: 2]                    |   1   |
|                   SERVER-OTHER Microsoft Frontpage orders.txt access [Priority: 2]                    |   1   |
|                  SERVER-OTHER Microsoft Frontpage register.htm access [Priority: 2]                   |   1   |
|                  SERVER-OTHER Microsoft Frontpage register.txt access [Priority: 2]                   |   1   |
|                SERVER-OTHER Microsoft Frontpage registrations.htm access [Priority: 2]                |   1   |
|                SERVER-OTHER Microsoft Frontpage registrations.txt access [Priority: 2]                |   1   |
|                      SERVER-WEBAPP unify eWave ServletExec upload [Priority: 1]                       |   1   |
|                            SERVER-WEBAPP cpshost.dll access [Priority: 2]                             |   1   |
|                              SERVER-IIS repost.asp access [Priority: 2]                               |   1   |
|                            SERVER-WEBAPP webdist.cgi access [Priority: 2]                             |   1   |
|                               SERVER-WEBAPP DB4Web access [Priority: 2]                               |   1   |
|                         SERVER-WEBAPP architext_query.pl access [Priority: 2]                         |   1   |
|                 SERVER-WEBAPP Cisco Catalyst command execution attempt [Priority: 2]                  |   1   |
|                  SERVER-OTHER Microsoft Frontpage _vti_inf.html access [Priority: 2]                  |   1   |
|               SERVER-OTHER Adobe Coldfusion gettempdirectory.cfm access  [Priority: 2]                |   1   |
|               SERVER-OTHER Microsoft Frontpage administrators.pwd access [Priority: 2]                |   1   |
|                   SERVER-OTHER Microsoft Frontpage authors.pwd access [Priority: 2]                   |   1   |
|                      SERVER-OTHER Microsoft Frontpage service.pwd [Priority: 2]                       |   1   |
|                               SERVER-IIS ping.asp access [Priority: 2]                                |   1   |
|                    SERVER-OTHER Microsoft Frontpage users.pwd access [Priority: 2]                    |   1   |
|                         SERVER-WEBAPP VirusWall FtpSave access [Priority: 2]                          |   1   |
|                            SERVER-WEBAPP Phorum admin access [Priority: 2]                            |   1   |
|                 SERVER-WEBAPP Blahz-DNS dostuff.php modify user attempt [Priority: 1]                 |   1   |
|                       SERVER-WEBAPP Blahz-DNS dostuff.php access [Priority: 2]                        |   1   |
|                           SERVER-WEBAPP ServletManager access [Priority: 2]                           |   1   |
|               SERVER-WEBAPP RBS ISP /newuser  directory traversal attempt [Priority: 1]               |   1   |
|                             SERVER-WEBAPP .nsconfig access [Priority: 2]                              |   1   |
|            SERVER-WEBAPP NeoFrag CMS database information disclosure attempt [Priority: 2]            |   1   |
|                        SERVER-WEBAPP Faq-O-Matic fom.cgi access [Priority: 2]                         |   1   |
|                             SERVER-WEBAPP .FBCIndex access [Priority: 2]                              |   1   |
|                              (http_inspect) simple request [Priority: 3]                              |   1   |
|              (http_inspect) HTTP header line terminated by CR without a LF [Priority: 3]              |   1   |
|     SERVER-WEBAPP TikiWiki tiki-graph_formula.php remote php code execution attempt [Priority: 1]     |   1   |
|                             SERVER-WEBAPP .DS_Store access [Priority: 2]                              |   1   |
|                          SERVER-WEBAPP classifieds.cgi access [Priority: 2]                           |   1   |
|                          SERVER-WEBAPP stronghold-info access [Priority: 2]                           |   1   |
|                         SERVER-WEBAPP stronghold-status access [Priority: 2]                          |   1   |
|                          SERVER-WEBAPP csSearch setup attempt [Priority: 2]                           |   1   |
