12/09/2021-16:01:39.950452  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/09/2021-16:02:01.980180  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50586 -> 10.0.2.20:80
12/09/2021-16:02:01.980180  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50586 -> 10.0.2.20:80
12/09/2021-16:01:49.962786  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50572 -> 10.0.2.20:80
12/09/2021-16:01:49.962786  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50572 -> 10.0.2.20:80
12/09/2021-16:01:51.965199  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50574 -> 10.0.2.20:80
12/09/2021-16:02:13.997444  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50600 -> 10.0.2.20:80
12/09/2021-16:02:13.997444  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50600 -> 10.0.2.20:80
12/09/2021-16:01:51.965199  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50574 -> 10.0.2.20:80
12/09/2021-16:01:43.954686  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50566 -> 10.0.2.20:80
12/09/2021-16:01:43.954686  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50566 -> 10.0.2.20:80
12/09/2021-16:02:24.011068  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50612 -> 10.0.2.20:80
12/09/2021-16:02:24.011068  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50612 -> 10.0.2.20:80
12/09/2021-16:01:53.968460  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50576 -> 10.0.2.20:80
12/09/2021-16:01:53.968460  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50576 -> 10.0.2.20:80
12/09/2021-16:01:47.839898  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8c7b:4cff:fecc:c693:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:01:47.960063  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50570 -> 10.0.2.20:80
12/09/2021-16:01:47.960063  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50570 -> 10.0.2.20:80
12/09/2021-16:02:28.016143  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50616 -> 10.0.2.20:80
12/09/2021-16:02:28.016143  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50616 -> 10.0.2.20:80
12/09/2021-16:01:55.971396  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50578 -> 10.0.2.20:80
12/09/2021-16:01:55.971396  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50578 -> 10.0.2.20:80
12/09/2021-16:02:09.991979  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50594 -> 10.0.2.20:80
12/09/2021-16:02:09.991979  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50594 -> 10.0.2.20:80
12/09/2021-16:02:36.024614  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50626 -> 10.0.2.20:80
12/09/2021-16:02:36.024614  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50626 -> 10.0.2.20:80
12/09/2021-16:01:59.976853  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50584 -> 10.0.2.20:80
12/09/2021-16:01:59.976853  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50584 -> 10.0.2.20:80
12/09/2021-16:01:50.190052  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:135 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
12/09/2021-16:01:50.190072  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:136 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/09/2021-16:02:15.999974  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50602 -> 10.0.2.20:80
12/09/2021-16:02:15.999974  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50602 -> 10.0.2.20:80
12/09/2021-16:01:54.666517  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:01:55.306601  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:135 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/09/2021-16:01:55.306708  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:136 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
12/09/2021-16:02:07.989463  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50592 -> 10.0.2.20:80
12/09/2021-16:02:07.989463  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50592 -> 10.0.2.20:80
12/09/2021-16:02:03.983536  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50588 -> 10.0.2.20:80
12/09/2021-16:02:03.983536  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50588 -> 10.0.2.20:80
12/09/2021-16:02:22.006974  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50608 -> 10.0.2.20:80
12/09/2021-16:02:22.006974  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50608 -> 10.0.2.20:80
12/09/2021-16:02:11.994657  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50598 -> 10.0.2.20:80
12/09/2021-16:02:11.994657  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50598 -> 10.0.2.20:80
12/09/2021-16:02:05.986530  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50590 -> 10.0.2.20:80
12/09/2021-16:02:05.986530  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50590 -> 10.0.2.20:80
12/09/2021-16:02:34.022835  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50624 -> 10.0.2.20:80
12/09/2021-16:02:34.022835  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50624 -> 10.0.2.20:80
12/09/2021-16:02:20.004629  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50606 -> 10.0.2.20:80
12/09/2021-16:02:20.004629  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50606 -> 10.0.2.20:80
12/09/2021-16:02:18.002140  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50604 -> 10.0.2.20:80
12/09/2021-16:02:18.002140  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50604 -> 10.0.2.20:80
12/09/2021-16:02:46.039380  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50638 -> 10.0.2.20:80
12/09/2021-16:02:46.039380  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50638 -> 10.0.2.20:80
12/09/2021-16:02:26.013417  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50614 -> 10.0.2.20:80
12/09/2021-16:02:26.013417  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50614 -> 10.0.2.20:80
12/09/2021-16:02:49.279882  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8c7b:4cff:fecc:c693:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:02:30.017929  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50620 -> 10.0.2.20:80
12/09/2021-16:02:30.017929  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50620 -> 10.0.2.20:80
12/09/2021-16:02:29.016676  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:135 -> 2001:0002:0000:0000:0000:0000:0000:0001:0
12/09/2021-16:02:29.016714  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/09/2021-16:02:58.054289  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50656 -> 10.0.2.20:80
12/09/2021-16:02:58.054289  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50656 -> 10.0.2.20:80
12/09/2021-16:02:32.020126  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50622 -> 10.0.2.20:80
12/09/2021-16:02:32.020126  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50622 -> 10.0.2.20:80
12/09/2021-16:02:44.036610  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50634 -> 10.0.2.20:80
12/09/2021-16:02:44.036610  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50634 -> 10.0.2.20:80
12/09/2021-16:03:00.056791  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50658 -> 10.0.2.20:80
12/09/2021-16:03:00.056791  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50658 -> 10.0.2.20:80
12/09/2021-16:02:47.573261  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:d0e6:a7ff:feab:edb6:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:02:54.049018  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50648 -> 10.0.2.20:80
12/09/2021-16:02:54.049018  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50648 -> 10.0.2.20:80
12/09/2021-16:02:48.041330  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50640 -> 10.0.2.20:80
12/09/2021-16:02:48.041330  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50640 -> 10.0.2.20:80
12/09/2021-16:03:02.059664  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50660 -> 10.0.2.20:80
12/09/2021-16:03:02.059664  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50660 -> 10.0.2.20:80
12/09/2021-16:02:38.027211  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50628 -> 10.0.2.20:80
12/09/2021-16:02:38.027211  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50628 -> 10.0.2.20:80
12/09/2021-16:02:50.043536  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50642 -> 10.0.2.20:80
12/09/2021-16:02:50.043536  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50642 -> 10.0.2.20:80
12/09/2021-16:02:56.051349  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50652 -> 10.0.2.20:80
12/09/2021-16:02:56.051349  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50652 -> 10.0.2.20:80
12/09/2021-16:03:04.062580  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50662 -> 10.0.2.20:80
12/09/2021-16:03:04.062580  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50662 -> 10.0.2.20:80
12/09/2021-16:03:06.064779  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50664 -> 10.0.2.20:80
12/09/2021-16:03:06.064779  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50664 -> 10.0.2.20:80
12/09/2021-16:02:40.030880  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50630 -> 10.0.2.20:80
12/09/2021-16:02:40.030880  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50630 -> 10.0.2.20:80
12/09/2021-16:02:52.046267  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50644 -> 10.0.2.20:80
12/09/2021-16:02:52.046267  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50644 -> 10.0.2.20:80
12/09/2021-16:03:08.066827  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50666 -> 10.0.2.20:80
12/09/2021-16:03:08.066827  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50666 -> 10.0.2.20:80
12/09/2021-16:03:01.226692  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:02:42.033496  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50632 -> 10.0.2.20:80
12/09/2021-16:02:42.033496  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50632 -> 10.0.2.20:80
12/09/2021-16:03:10.069560  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50668 -> 10.0.2.20:80
12/09/2021-16:03:10.069560  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50668 -> 10.0.2.20:80
12/09/2021-16:03:14.073467  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50672 -> 10.0.2.20:80
12/09/2021-16:03:14.073467  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50672 -> 10.0.2.20:80
12/09/2021-16:03:20.080118  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50678 -> 10.0.2.20:80
12/09/2021-16:03:20.080118  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50678 -> 10.0.2.20:80
12/09/2021-16:03:18.077966  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50676 -> 10.0.2.20:80
12/09/2021-16:03:18.077966  [**] [1:2011037:6] ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50676 -> 10.0.2.20:80
12/09/2021-16:03:12.071273  [**] [1:2006446:14] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50670 -> 10.0.2.20:80
