+---------------+-------+
|   Priority    | Count |
|                     ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access [Priority: 1]                      |   1   |
|        ET WEB_SPECIFIC_APPS Possible Joomla SQLi Attempt (CVE-2015-7297 CVE-2015-7857 CVE-2015-7858) [Priority: 1]         |   1   |
|                                  GPL WEB_SERVER Tomcat server snoop access [Priority: 2]                                   |   1   |
|                          TGI HUNT directory traversal chars in HTTP Request Header [Priority: 2]                           |   1   |
|                            ET WEB_SERVER SELECT USER SQL Injection Attempt in URI [Priority: 1]                            |   1   |
|                                          GPL WEB_SERVER service.pwd [Priority: 2]                                          |   1   |
|                    ET WEB_SPECIFIC_APPS Horde type Parameter Local File Inclusion Attempt [Priority: 1]                    |   1   |
|             ET MALWARE Terse alphanumeric executable downloader high likelihood of being hostile [Priority: 2]             |   1   |
|                                      GPL WEB_SERVER authors.pwd access [Priority: 2]                                       |   1   |
|                                    GPL EXPLOIT administrators.pwd access [Priority: 2]                                     |   1   |
|                 ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability [Priority: 1]                 |   1   |
| ET EXPLOIT Possible Citrix Application Delivery Controller Arbitrary Code Execution Attempt (CVE-2019-19781) [Priority: 1] |   1   |
|                              ET EXPLOIT D-Link DSL-2750B - OS Command Injection [Priority: 1]                              |   1   |
|                ET EXPLOIT Cisco RV320/RV325 Config Disclosure Attempt Inbound (CVE-2019-1653) [Priority: 1]                |   1   |
|                        ET EXPLOIT F5 TMUI RCE vulnerability CVE-2020-5902 Attempt M1 [Priority: 1]                         |   1   |
|                                      GPL WEB_SERVER service.cnf access [Priority: 2]                                       |   1   |
|                                      GPL WEB_SERVER writeto.cnf access [Priority: 2]                                       |   1   |
|               ATTACK [PTsecurity] Mismatch URI and Host header. Possible Squid cache poisoning [Priority: 2]               |   1   |
|                         ET WEB_SERVER PHP Generic Remote File Include Attempt (HTTP) [Priority: 1]                         |   1   |
|                        ET WEB_SERVER PHP Possible http Remote File Inclusion Attempt [Priority: 1]                         |   1   |
|                                      GPL WEB_SERVER services.cnf access [Priority: 2]                                      |   1   |
|                           ET SCAN SFTP/FTP Password Exposure via sftp-config.json [Priority: 2]                            |   1   |
|                                       GPL WEB_SERVER webalizer access [Priority: 2]                                        |   1   |
|                     ET EXPLOIT FortiOS SSL VPN - Information Disclosure (CVE-2018-13379) [Priority: 1]                     |   1   |
|          ET EXPLOIT Fortinet FortiOS/FortiProxy SSL VPN Web Portal Path Traversal (CVE-2018-13379) [Priority: 1]           |   1   |
|                                   ET MALWARE Pakes2 - Checkin - /test.php [Priority: 1]                                    |   1   |
|                                 ET SCAN FTPSync Settings Disclosure Attempt [Priority: 2]                                  |   1   |
|                                     SURICATA HTTP request header invalid [Priority: 3]                                     |   1   |
|                                     ET SCAN HTTP GET invalid method case [Priority: 2]                                     |   1   |
|                               ET POLICY HTTP GET invalid method case outbound [Priority: 2]                                |   1   |
|                      ET WEB_SPECIFIC_APPS Jelsoft vBulletin XSS Attempt -- calendar.php [Priority: 1]                      |   1   |
|                                     GPL WEB_SERVER ISAPI .printer access [Priority: 2]                                     |   1   |
|                                         TGI HUNT gitrepo HTTP Probe [Priority: 2]                                          |   1   |
+----------------------------------------------------------------------------------------------------------------------------+-------+
