12/10/2021-14:13:09.297185  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-14:13:19.481602  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:136 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/10/2021-14:13:23.340378  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50728 -> 10.0.2.20:80
12/10/2021-14:13:27.754936  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50750 -> 10.0.2.20:80
12/10/2021-14:13:23.741592  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50730 -> 10.0.2.20:80
12/10/2021-14:13:14.361536  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:135 -> 2001:0002:0000:0000:0000:0000:0000:0020:0
12/10/2021-14:13:14.361607  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:136 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
12/10/2021-14:13:24.945646  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50736 -> 10.0.2.20:80
12/10/2021-14:13:26.951989  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50746 -> 10.0.2.20:80
12/10/2021-14:13:30.162175  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50764 -> 10.0.2.20:80
12/10/2021-14:13:24.142666  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50732 -> 10.0.2.20:80
12/10/2021-14:13:29.359573  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50758 -> 10.0.2.20:80
12/10/2021-14:13:43.407709  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50830 -> 10.0.2.20:80
12/10/2021-14:13:46.617768  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50848 -> 10.0.2.20:80
12/10/2021-14:13:44.210049  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:50834 -> 10.0.2.20:80
12/10/2021-14:13:44.210049  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50834 -> 10.0.2.20:80
12/10/2021-14:13:49.830974  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50864 -> 10.0.2.20:80
12/10/2021-14:13:51.035160  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50870 -> 10.0.2.20:80
12/10/2021-14:13:52.239873  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:50876 -> 10.0.2.20:80
12/10/2021-14:13:52.239873  [**] [1:2100937:13] GPL WEB_SERVER _vti_rpc access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50876 -> 10.0.2.20:80
12/10/2021-14:13:52.239873  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50876 -> 10.0.2.20:80
12/10/2021-14:13:51.838784  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50874 -> 10.0.2.20:80
12/10/2021-14:13:51.838784  [**] [1:2101156:12] GPL WEB_SERVER apache directory disclosure attempt [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 10.0.0.20:50874 -> 10.0.2.20:80
12/10/2021-14:13:57.244896  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:135 -> 2001:0002:0000:0000:0000:0000:0000:0001:0
12/10/2021-14:13:57.244946  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/10/2021-14:14:09.095952  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50972 -> 10.0.2.20:80
12/10/2021-14:14:05.885652  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:50954 -> 10.0.2.20:80
12/10/2021-14:14:05.885652  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50954 -> 10.0.2.20:80
12/10/2021-14:14:10.299765  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50978 -> 10.0.2.20:80
12/10/2021-14:14:07.891836  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50964 -> 10.0.2.20:80
12/10/2021-14:14:05.082956  [**] [1:2100993:14] GPL WEB_SERVER iisadmin access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:50950 -> 10.0.2.20:80
12/10/2021-14:14:05.082956  [**] [1:2100987:17] GPL EXPLOIT .htr access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:50950 -> 10.0.2.20:80
12/10/2021-14:14:09.898758  [**] [1:2221002:1] SURICATA HTTP request field missing colon [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:50976 -> 10.0.2.20:80
12/10/2021-14:14:21.539786  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51038 -> 10.0.2.20:80
12/10/2021-14:14:21.138486  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51036 -> 10.0.2.20:80
12/10/2021-14:14:26.356542  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51064 -> 10.0.2.20:80
12/10/2021-14:14:21.941301  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51040 -> 10.0.2.20:80
12/10/2021-14:14:22.342688  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51042 -> 10.0.2.20:80
12/10/2021-14:14:28.764654  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51078 -> 10.0.2.20:80
12/10/2021-14:14:23.145389  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51048 -> 10.0.2.20:80
12/10/2021-14:14:31.378136  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8c7b:4cff:fecc:c693:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-14:14:26.758429  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51066 -> 10.0.2.20:80
12/10/2021-14:14:24.750811  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51056 -> 10.0.2.20:80
12/10/2021-14:14:24.750811  [**] [1:2101013:12] GPL EXPLOIT fpcount access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51056 -> 10.0.2.20:80
12/10/2021-14:14:24.750811  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51056 -> 10.0.2.20:80
12/10/2021-14:14:27.561041  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51072 -> 10.0.2.20:80
12/10/2021-14:14:27.159640  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51068 -> 10.0.2.20:80
12/10/2021-14:14:36.794557  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51120 -> 10.0.2.20:80
12/10/2021-14:14:37.999606  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51126 -> 10.0.2.20:80
12/10/2021-14:14:52.052586  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51200 -> 10.0.2.20:80
12/10/2021-14:14:53.256349  [**] [1:2021005:3] ET WEB_SPECIFIC_APPS Vulnerable Magento Adminhtml Access [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:51206 -> 10.0.2.20:80
12/10/2021-14:14:53.256349  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51206 -> 10.0.2.20:80
12/10/2021-14:14:55.665014  [**] [1:2101193:13] GPL WEB_SPECIFIC_APPS oracle web arbitrary command execution attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51220 -> 10.0.2.20:80
12/10/2021-14:14:55.665014  [**] [1:10004953:2] ATTACK [PTsecurity] Apache Tomcat RCE on Windows (CVE-2019-0232) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:51220 -> 10.0.2.20:80
12/10/2021-14:14:56.868701  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51226 -> 10.0.2.20:80
12/10/2021-14:14:50.045041  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51190 -> 10.0.2.20:80
12/10/2021-14:14:57.670716  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51230 -> 10.0.2.20:80
12/10/2021-14:14:52.453662  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51202 -> 10.0.2.20:80
12/10/2021-14:14:55.263631  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51218 -> 10.0.2.20:80
12/10/2021-14:14:57.269866  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51228 -> 10.0.2.20:80
12/10/2021-14:15:06.501636  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:51278 -> 10.0.2.20:80
12/10/2021-14:15:07.706027  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51284 -> 10.0.2.20:80
12/10/2021-14:15:07.706027  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51284 -> 10.0.2.20:80
12/10/2021-14:15:07.706027  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:51284 -> 10.0.2.20:80
12/10/2021-14:15:20.548389  [**] [1:2101874:6] GPL WEB_SERVER Oracle Java Process Manager access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51352 -> 10.0.2.20:80
12/10/2021-14:15:29.780784  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51400 -> 10.0.2.20:80
12/10/2021-14:15:29.780784  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51400 -> 10.0.2.20:80
12/10/2021-14:15:24.964457  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51374 -> 10.0.2.20:80
12/10/2021-14:15:24.964457  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51374 -> 10.0.2.20:80
12/10/2021-14:15:30.582993  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51404 -> 10.0.2.20:80
12/10/2021-14:15:23.760712  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51368 -> 10.0.2.20:80
12/10/2021-14:15:23.760712  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51368 -> 10.0.2.20:80
12/10/2021-14:15:28.175641  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51392 -> 10.0.2.20:80
12/10/2021-14:15:28.175641  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51392 -> 10.0.2.20:80
12/10/2021-14:15:28.978361  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51396 -> 10.0.2.20:80
12/10/2021-14:15:28.978361  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51396 -> 10.0.2.20:80
12/10/2021-14:15:28.978361  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51396 -> 10.0.2.20:80
12/10/2021-14:15:25.767452  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51380 -> 10.0.2.20:80
12/10/2021-14:15:25.767452  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51380 -> 10.0.2.20:80
12/10/2021-14:15:32.188319  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:51414 -> 10.0.2.20:80
12/10/2021-14:15:32.188319  [**] [1:2101023:13] GPL WEB_SERVER msadcs.dll access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51414 -> 10.0.2.20:80
12/10/2021-14:15:25.988158  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-14:15:39.814521  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:51452 -> 10.0.2.20:80
12/10/2021-14:15:26.569996  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51384 -> 10.0.2.20:80
12/10/2021-14:15:26.569996  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51384 -> 10.0.2.20:80
12/10/2021-14:15:26.569996  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51384 -> 10.0.2.20:80
12/10/2021-14:15:40.616646  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:51456 -> 10.0.2.20:80
12/10/2021-14:15:30.181708  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51402 -> 10.0.2.20:80
12/10/2021-14:15:30.984258  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51406 -> 10.0.2.20:80
12/10/2021-14:15:47.039584  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51492 -> 10.0.2.20:80
12/10/2021-14:15:48.247152  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51498 -> 10.0.2.20:80
12/10/2021-14:15:58.692390  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51554 -> 10.0.2.20:80
12/10/2021-14:15:58.692390  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51554 -> 10.0.2.20:80
12/10/2021-14:15:58.692390  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51554 -> 10.0.2.20:80
12/10/2021-14:15:44.631210  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51476 -> 10.0.2.20:80
12/10/2021-14:15:24.161761  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51370 -> 10.0.2.20:80
12/10/2021-14:15:24.161761  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51370 -> 10.0.2.20:80
12/10/2021-14:15:25.988128  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:d0e6:a7ff:feab:edb6:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-14:15:27.372798  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51388 -> 10.0.2.20:80
12/10/2021-14:15:41.418990  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51460 -> 10.0.2.20:80
12/10/2021-14:15:27.372798  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51388 -> 10.0.2.20:80
12/10/2021-14:15:41.418990  [**] [1:2101256:11] GPL EXPLOIT CodeRed v2 root.exe access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:51460 -> 10.0.2.20:80
12/10/2021-14:16:03.106517  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51578 -> 10.0.2.20:80
12/10/2021-14:16:03.106517  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:51578 -> 10.0.2.20:80
12/10/2021-14:16:03.106517  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:51578 -> 10.0.2.20:80
12/10/2021-14:16:03.909917  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51582 -> 10.0.2.20:80
12/10/2021-14:15:45.835514  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51484 -> 10.0.2.20:80
12/10/2021-14:15:57.890267  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:51550 -> 10.0.2.20:80
12/10/2021-14:15:57.890267  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51550 -> 10.0.2.20:80
12/10/2021-14:15:57.890267  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:51550 -> 10.0.2.20:80
