12/10/2021-13:08:45.561960  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:f8f9:36ff:fe3e:0404:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/10/2021-13:09:46.148613  [**] [1:2221002:1] SURICATA HTTP request field missing colon [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:36300 -> 10.0.2.20:80
12/10/2021-13:10:02.999203  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36388 -> 10.0.2.20:80
12/10/2021-13:09:46.549689  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36302 -> 10.0.2.20:80
12/10/2021-13:09:57.384674  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36358 -> 10.0.2.20:80
12/10/2021-13:10:00.993978  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:36376 -> 10.0.2.20:80
12/10/2021-13:10:00.993978  [**] [1:2101013:12] GPL EXPLOIT fpcount access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36376 -> 10.0.2.20:80
12/10/2021-13:10:00.993978  [**] [1:2101288:12] GPL WEB_SERVER /_vti_bin/ access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36376 -> 10.0.2.20:80
12/10/2021-13:10:03.801912  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36392 -> 10.0.2.20:80
12/10/2021-13:09:58.186522  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36362 -> 10.0.2.20:80
12/10/2021-13:10:05.006242  [**] [1:2010920:9] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36398 -> 10.0.2.20:80
12/10/2021-13:10:26.270643  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36510 -> 10.0.2.20:80
12/10/2021-13:10:28.276214  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36520 -> 10.0.2.20:80
12/10/2021-13:09:59.389783  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36368 -> 10.0.2.20:80
12/10/2021-13:10:14.236594  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36446 -> 10.0.2.20:80
12/10/2021-13:10:13.033628  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36440 -> 10.0.2.20:80
12/10/2021-13:10:28.677210  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36522 -> 10.0.2.20:80
12/10/2021-13:10:03.400432  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36390 -> 10.0.2.20:80
12/10/2021-13:10:31.886077  [**] [1:2101193:13] GPL WEB_SPECIFIC_APPS oracle web arbitrary command execution attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36538 -> 10.0.2.20:80
12/10/2021-13:10:31.886077  [**] [1:10004953:2] ATTACK [PTsecurity] Apache Tomcat RCE on Windows (CVE-2019-0232) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:36538 -> 10.0.2.20:80
12/10/2021-13:10:42.719774  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36594 -> 10.0.2.20:80
12/10/2021-13:10:31.484843  [**] [1:2009714:8] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36536 -> 10.0.2.20:80
12/10/2021-13:10:33.089690  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36544 -> 10.0.2.20:80
12/10/2021-13:10:43.923005  [**] [1:2003179:10] ET POLICY exe download without User Agent [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:36600 -> 10.0.2.20:80
12/10/2021-13:10:43.923005  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:36600 -> 10.0.2.20:80
12/10/2021-13:10:43.923005  [**] [1:2016141:7] ET INFO Executable Download from dotted-quad Host [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.0.0.20:36600 -> 10.0.2.20:80
12/10/2021-13:10:33.891827  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36550 -> 10.0.2.20:80
12/10/2021-13:10:33.490782  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36546 -> 10.0.2.20:80
12/10/2021-13:10:29.479599  [**] [1:2021005:3] ET WEB_SPECIFIC_APPS Vulnerable Magento Adminhtml Access [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 10.0.0.20:36526 -> 10.0.2.20:80
12/10/2021-13:10:29.479599  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36526 -> 10.0.2.20:80
12/10/2021-13:10:56.762042  [**] [1:2101874:6] GPL WEB_SERVER Oracle Java Process Manager access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36666 -> 10.0.2.20:80
12/10/2021-13:10:59.971871  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36684 -> 10.0.2.20:80
12/10/2021-13:10:59.971871  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36684 -> 10.0.2.20:80
12/10/2021-13:11:01.978313  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36694 -> 10.0.2.20:80
12/10/2021-13:11:01.978313  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36694 -> 10.0.2.20:80
12/10/2021-13:11:02.781331  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36700 -> 10.0.2.20:80
12/10/2021-13:11:02.781331  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36700 -> 10.0.2.20:80
12/10/2021-13:11:02.781331  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36700 -> 10.0.2.20:80
12/10/2021-13:11:07.194557  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36724 -> 10.0.2.20:80
12/10/2021-13:11:00.373362  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36686 -> 10.0.2.20:80
12/10/2021-13:11:00.373362  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36686 -> 10.0.2.20:80
12/10/2021-13:11:05.991296  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36716 -> 10.0.2.20:80
12/10/2021-13:11:05.991296  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36716 -> 10.0.2.20:80
12/10/2021-13:11:16.019473  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36778 -> 10.0.2.20:80
12/10/2021-13:11:01.175538  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36690 -> 10.0.2.20:80
12/10/2021-13:11:01.175538  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36690 -> 10.0.2.20:80
12/10/2021-13:11:17.624204  [**] [1:2003595:6] ET POLICY exe download via HTTP - Informational [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.0.0.20:36786 -> 10.0.2.20:80
12/10/2021-13:11:17.624204  [**] [1:2101256:11] GPL EXPLOIT CodeRed v2 root.exe access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 10.0.0.20:36786 -> 10.0.2.20:80
12/10/2021-13:11:03.583467  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36704 -> 10.0.2.20:80
12/10/2021-13:11:03.583467  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36704 -> 10.0.2.20:80
12/10/2021-13:11:05.189152  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36712 -> 10.0.2.20:80
12/10/2021-13:11:05.189152  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36712 -> 10.0.2.20:80
12/10/2021-13:11:05.189152  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36712 -> 10.0.2.20:80
12/10/2021-13:11:20.833661  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36802 -> 10.0.2.20:80
12/10/2021-13:11:08.398229  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36730 -> 10.0.2.20:80
12/10/2021-13:11:08.398229  [**] [1:2101023:13] GPL WEB_SERVER msadcs.dll access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36730 -> 10.0.2.20:80
12/10/2021-13:11:16.821657  [**] [1:2027250:4] ET INFO Dotted Quad Host DLL Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36782 -> 10.0.2.20:80
12/10/2021-13:11:23.239884  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36814 -> 10.0.2.20:80
12/10/2021-13:11:04.386453  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36708 -> 10.0.2.20:80
12/10/2021-13:11:04.386453  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36708 -> 10.0.2.20:80
12/10/2021-13:11:06.392390  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36718 -> 10.0.2.20:80
12/10/2021-13:11:06.793474  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36720 -> 10.0.2.20:80
12/10/2021-13:11:22.036777  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36808 -> 10.0.2.20:80
12/10/2021-13:11:33.269861  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36864 -> 10.0.2.20:80
12/10/2021-13:11:33.269861  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36864 -> 10.0.2.20:80
12/10/2021-13:11:24.444253  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36820 -> 10.0.2.20:80
12/10/2021-13:11:34.874206  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36876 -> 10.0.2.20:80
12/10/2021-13:11:34.874206  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36876 -> 10.0.2.20:80
12/10/2021-13:11:34.874206  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36876 -> 10.0.2.20:80
12/10/2021-13:11:30.061244  [**] [1:2017440:4] ET WEB_SERVER PHP SESSION SuperGlobal in URI [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36848 -> 10.0.2.20:80
12/10/2021-13:11:38.885552  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36896 -> 10.0.2.20:80
12/10/2021-13:11:31.665483  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36856 -> 10.0.2.20:80
12/10/2021-13:11:31.665483  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36856 -> 10.0.2.20:80
12/10/2021-13:11:32.467668  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36860 -> 10.0.2.20:80
12/10/2021-13:11:32.467668  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36860 -> 10.0.2.20:80
12/10/2021-13:11:34.071944  [**] [1:2003099:7] ET WEB_SERVER Poison Null Byte [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36872 -> 10.0.2.20:80
12/10/2021-13:11:34.071944  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36872 -> 10.0.2.20:80
12/10/2021-13:11:34.071944  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36872 -> 10.0.2.20:80
12/10/2021-13:11:44.501301  [**] [1:2017440:4] ET WEB_SERVER PHP SESSION SuperGlobal in URI [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36926 -> 10.0.2.20:80
12/10/2021-13:11:30.462101  [**] [1:2017440:4] ET WEB_SERVER PHP SESSION SuperGlobal in URI [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.0.0.20:36850 -> 10.0.2.20:80
12/10/2021-13:11:35.676779  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36880 -> 10.0.2.20:80
12/10/2021-13:11:37.280857  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36888 -> 10.0.2.20:80
12/10/2021-13:11:37.280857  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36888 -> 10.0.2.20:80
12/10/2021-13:11:47.311328  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 10.0.0.20:36940 -> 10.0.2.20:80
12/10/2021-13:11:41.291886  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36910 -> 10.0.2.20:80
12/10/2021-13:11:36.478793  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36884 -> 10.0.2.20:80
12/10/2021-13:11:36.478793  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36884 -> 10.0.2.20:80
12/10/2021-13:11:38.083578  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36892 -> 10.0.2.20:80
12/10/2021-13:11:38.083578  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36892 -> 10.0.2.20:80
12/10/2021-13:11:38.484633  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36894 -> 10.0.2.20:80
12/10/2021-13:11:38.484633  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:36894 -> 10.0.2.20:80
